"","start_distance_to_shore_m","end_distance_to_shore_m","depth_min_m","depth_max_m","structural_complexity_0to5","breeding_biomass_kgha_side","Herb_biomass","InvMob_biomass","Omnivr_biomass","Plktiv_biomass","FisCep_biomass","InvSes_biomass","sum_fish_biomass","shannon","evenness","sum_dens","PD","SR","rel_bio_TL1","rel_bio_TL2","rel_bio_TL3","rel_bio_TL4","rel_bio_TL5","Herb_density","InvMob_density","Omnivr_density","Plktiv_density","FisCep_density","InvSes_density"
"start_distance_to_shore_m",1,0.906587294647288,-0.25297017367361,0.224933673746018,0.0336933361473757,0.39603130306593,0.204889089536925,0.308211894748029,-0.0751777756247241,0.190932057766674,-0.193434092881284,-0.0975411902607398,0.193449853802553,0.0175444736132464,-0.107567452720803,0.0972733152624496,0.265020136013968,0.271536118568168,-0.233095012412448,0.0432115367635096,0.111616061901902,0.456621146100353,-0.17126557094196,-0.105878479740701,-0.0615437359160373,0.162468737991482,0.0936691459508988,-0.0982059764506072,-0.203646019563529
"end_distance_to_shore_m",0.906587294647288,1,-0.0715729320489474,0.288898404624776,0.180320158945202,0.363803630343479,0.152061138813776,0.522742408894317,-0.0417771754741527,-0.0234310723937769,-0.240972477591724,-0.0560176471023197,0.217529767127485,0.0619201588026516,-0.124221170008248,0.19411359213986,0.39469959066908,0.40879103826954,-0.24039562992103,0.0056660619824189,0.328780752985988,0.416232079687178,-0.22393848468975,-0.114852752105616,0.078533276884364,0.214230508714956,0.199290441356689,-0.0589365036854529,-0.129892132758395
"depth_min_m",-0.25297017367361,-0.0715729320489474,1,-0.0509548041769486,0.250702214565354,-0.252807763316094,0.191217333051936,0.242007135962832,0.028160742998816,-0.292309293662851,-0.0308627700586719,0.463062705817569,0.219815228701761,0.143419118526515,-0.0311061361508057,0.26994547281894,0.274233740240743,0.358998571693671,0.0539208769163799,0.018024147348669,0.184608184767928,-0.227312506912884,-0.0196082869229356,0.132703544061258,0.187948992913365,0.129733307439418,0.253180656517719,0.0265097185517886,0.492003740869111
"depth_max_m",0.224933673746018,0.288898404624776,-0.0509548041769486,1,0.354045462356237,-0.0130642515065778,0.266822663531236,0.223738594449283,-0.0939759049049354,-0.0721199130892956,0.27115899568488,0.07079803936607,0.279660317938078,-0.0729365540906455,-0.228449111628193,0.179763272322362,0.103985952098303,0.228986567124639,0.0153218403696418,-0.302334164336211,-0.024559583283872,0.174722778234769,0.200447940919199,0.184976398862889,-0.486945622577777,0.330950202689416,-0.100738437150174,0.38798786762636,0.0240335167073162
"structural_complexity_0to5",0.0336933361473757,0.180320158945202,0.250702214565354,0.354045462356237,1,-0.682249375577415,0.207047755693146,0.315369009345982,0.204294366297245,-0.0767429815170916,0.21460699754341,0.38140929941119,0.386640255309446,-0.00618704359676496,-0.267716077062695,0.288259132554133,0.368301764478122,0.4525667563152,0.0743536346822488,-0.299394670653934,-0.0261961689378087,0.109841645772547,0.14454227317394,0.203869320858652,-0.053655759708326,0.380628427059781,-0.0875251961199639,0.103819281030897,0.391630224993979
"breeding_biomass_kgha_side",0.39603130306593,0.363803630343479,-0.252807763316094,-0.0130642515065778,-0.682249375577415,1,-0.195201200647497,0.0543911690013911,-0.308874759283544,0.171193673448495,-0.0462505007962982,-0.225374141362681,-0.255052067420096,0.273077700569634,0.357376169982837,-0.215044770179556,-0.00488535033997583,-0.0834573561682517,-0.414118605826757,0.312715636521949,0.417229579279665,0.0820934539421184,0.0525065201989454,-0.358587227449754,0.0587840050079454,-0.307255436293044,0.255582297355212,0.0206384251354081,-0.315944599401468
"Herb_biomass",0.204889089536925,0.152061138813776,0.191217333051936,0.266822663531236,0.207047755693146,-0.195201200647497,1,0.221252882415923,-0.0293404963702759,-0.296161174172265,-0.135674812446612,-0.00972454146511828,0.744849620967873,0.104559258767276,0.0213629895727382,0.327560456993742,-0.0433668493382573,0.159601416876542,0.382668201718519,-0.0868883818176863,-0.00633223762679037,-0.379049820010534,-0.267344657943227,0.716726505609526,-0.138943830058629,0.183480408837868,0.00441858430979667,-0.150090888856076,-0.0344826193100184
"InvMob_biomass",0.308211894748029,0.522742408894317,0.242007135962832,0.223738594449283,0.315369009345982,0.0543911690013911,0.221252882415923,1,0.34713467060855,-0.097354411945874,0.00306440332575108,-0.0595115100295681,0.62696469314297,-0.177712275029218,-0.435951248537613,0.710020108602712,0.551608809929974,0.517059125693645,-0.120689418268966,-0.261806144216431,0.410362931606696,0.368370406262442,-0.121602404712542,0.208214556811021,0.30752160180775,0.614130647704929,0.456281314906663,0.350426166264066,-0.0876305056339613
"Omnivr_biomass",-0.0751777756247241,-0.0417771754741527,0.028160742998816,-0.0939759049049354,0.204294366297245,-0.308874759283544,-0.0293404963702759,0.34713467060855,1,-0.124533578911622,0.250486739515509,-0.139044128944959,0.538236270925737,-0.291891681212059,-0.53845192614006,0.696817262765752,0.418022177671448,0.482856110920284,0.462899455041641,-0.582287762614392,-0.210137857575102,-0.0426137396490768,0.00844906863726631,0.311877458866934,0.10305835803791,0.731125305008426,0.228212772734421,0.121936916078484,-0.0257902922566294
"Plktiv_biomass",0.190932057766674,-0.0234310723937769,-0.292309293662851,-0.0721199130892956,-0.0767429815170916,0.171193673448495,-0.296161174172265,-0.097354411945874,-0.124533578911622,1,0.211596123454166,0.214085737994263,-0.185817234068906,-0.168859723857991,-0.109946986974751,-0.132591265279143,0.116012507798204,-0.133575601521763,-0.423296206645031,0.0977341964814473,-0.151062287139205,0.524762644033254,0.292304782658394,-0.447208606750268,-0.134064747586285,0.018942003872569,0.0220110937819684,0.130784697372041,0.139692390636873
