"site.name","transect.id.Maya","Avrainvillea.lacerata","Boodlea.composita","Caldora.penicillata","Caulerpa.chemnitzia","Caulerpa.serrulata","Chlorodesmis.fastigiata","Cladophora.fuliginosa","Dictyosphaeria.cavernosa","Dictyota.ceylanica","Dictyota.friabilis","galaxaura.filamentosa","Gelidiella.acerosa","Halimeda.discoidea","Halimeda.distorta","Halimeda.heteromorpha","Halimeda.minima","Halimeda.opuntia","Hydroclathrus.clathratus","Hydrocoleum.coccineum","Hydrocoleum.spp","Hypnea.spinella","Jania.articulata","Lobophora.spp","Lyngbya.sordida","Neomeris.vanbosseae","Oscilllatoria.spp","Pseudanabaena.lonchoides","Pterocladiella.caerulescens","Schizothrix.minuta","Symploca.hydnoides","Turbinaria.ornata","shannon","richness","evenness","Motu","Exposure","breeding_biomass_kgha_100m","breeding_biomass_kgha_200m","breeding_biomass_kgha_side","breeding_biomass_kgha_motu","breeding_density_ha_100m","breeding_density_ha_200m","breeding_density_ha_side","breeding_density_ha_motu","adult_biomass_kgha_100m","adult_biomass_kgha_200m","adult_biomass_kgha_side","adult_biomass_kgha_motu","adult_density_ha_100m","adult_density_ha_200m","adult_density_ha_side","adult_density_ha_motu"
"Aie_Exposed","A2-10-T1",0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,3075,0.341202271704704,3,0.31057569191981,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"Aie_Exposed","A2-10-T2",0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,2000,0.362819930323722,3,0.330252932782667,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"Aie_Exposed","A2-10-T3",0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,20,0,3950,0.289289405166117,4,0.208678195107438,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"Aie_Exposed","A2-10-T4",0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,20,0,3000,0.380315324513309,4,0.274339516324714,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"Aie_Exposed","A2-40-T1",200,0,0,0,25,50,0,0,0,0,0,0,0,500,0,0,0,0,1800,0,0,0,2000,0,25,0,0,0,80,0,75,1.33936698625173,9,0.609572184867648,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"Aie_Exposed","A2-40-T2",0,0,0,0,25,25,0,0,0,0,0,0,0,500,0,0,0,0,1200,0,0,0,2000,0,25,0,0,0,0,0,100,1.16058897360926,7,0.596424749710407,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"Aie_Exposed","A2-40-T3",0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,2000,0,0,0,0,0,0,0,0,0.720229361958051,3,0.655581017422637,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"Aie_Exposed","A2-40-T4",0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,2000,0,0,0,100,0,0,0,0,0.82795825025253,4,0.597245630851214,"Aie","Exposed",208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"Aie_Protected","A1-10-T1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3325,0,1,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"Aie_Protected","A1-10-T2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5975,0,1,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"Aie_Protected","A1-10-T3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15025,0,1,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"Aie_Protected","A1-10-T4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11825,0,1,NA,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"Aie_Protected","A1-40-T1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,4100,0,0,0,0,0,0,0,12500,0.592271226203197,3,0.539108502892526,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"Aie_Protected","A1-40-T2",100,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,0,0,0,0,0,0,0,12300,0.707125637033853,4,0.510083324917095,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"Aie_Protected","A1-40-T3",0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,10820,0.628465184554155,3,0.572053663550467,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"Aie_Protected","A1-40-T4",0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,20,0,7000,0.664274005807498,4,0.479172406984962,"Aie","Protected",741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
